EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
100,Steven,King,SKING,515.123.4567,6/17/2003,AD_PRES,24000,0.22,100.0,90.0
101,Neena,Kochhar,NKOCHHAR,515.123.4568,9/21/2005,AD_VP,17000,0.22,100.0,90.0
102,Lex,De Haan,LDEHAAN,515.123.4569,1/13/2001,AD_VP,17000,0.22,100.0,90.0
103,Alexander,Hunold,AHUNOLD,590.423.4567,1/3/2006,IT_PROG,9000,0.22,102.0,60.0
104,Bruce,Ernst,BERNST,590.423.4568,5/21/2007,IT_PROG,6000,0.22,103.0,60.0
105,David,Austin,DAUSTIN,590.423.4569,6/25/2005,IT_PROG,4800,0.22,103.0,60.0
106,Valli,Pataballa,VPATABAL,590.423.4560,2/5/2006,IT_PROG,4800,0.22,103.0,60.0
107,Diana,Lorentz,DLORENTZ,590.423.5567,2/7/2007,IT_PROG,4200,0.22,103.0,60.0
108,Nancy,Greenberg,NGREENBE,515.124.4569,8/17/2002,FI_MGR,12008,0.22,101.0,100.0
109,Daniel,Faviet,DFAVIET,515.124.4169,8/16/2002,FI_ACCOUNT,9000,0.22,108.0,100.0
110,John,Chen,JCHEN,515.124.4269,9/28/2005,FI_ACCOUNT,8200,0.22,108.0,100.0
111,Ismael,Sciarra,ISCIARRA,515.124.4369,9/30/2005,FI_ACCOUNT,7700,0.22,108.0,100.0
112,Jose Manuel,Urman,JMURMAN,515.124.4469,3/7/2006,FI_ACCOUNT,7800,0.22,108.0,100.0
113,Luis,Popp,LPOPP,515.124.4567,12/7/2007,FI_ACCOUNT,6900,0.22,108.0,100.0
114,Den,Raphaely,DRAPHEAL,515.127.4561,12/7/2002,PU_MAN,11000,0.22,100.0,30.0
115,Alexander,Khoo,AKHOO,515.127.4562,5/18/2003,PU_CLERK,3100,0.22,114.0,30.0
116,Shelli,Baida,SBAIDA,515.127.4563,12/24/2005,PU_CLERK,2900,0.22,114.0,30.0
117,Sigal,Tobias,STOBIAS,515.127.4564,7/24/2005,PU_CLERK,2800,0.22,114.0,30.0
118,Guy,Himuro,GHIMURO,515.127.4565,11/15/2006,PU_CLERK,2600,0.22,114.0,30.0
119,Karen,Colmenares,KCOLMENA,515.127.4566,8/10/2007,PU_CLERK,2500,0.22,114.0,30.0
120,Matthew,Weiss,MWEISS,650.123.1234,7/18/2004,ST_MAN,8000,0.22,100.0,50.0
121,Adam,Fripp,AFRIPP,650.123.2234,4/10/2005,ST_MAN,8200,0.22,100.0,50.0
122,Payam,Kaufling,PKAUFLIN,650.123.3234,5/1/2003,ST_MAN,7900,0.22,100.0,50.0
123,Shanta,Vollman,SVOLLMAN,650.123.4234,10/10/2005,ST_MAN,6500,0.22,100.0,50.0
124,Kevin,Mourgos,KMOURGOS,650.123.5234,11/16/2007,ST_MAN,5800,0.22,100.0,50.0
125,Julia,Nayer,JNAYER,650.124.1214,7/16/2005,ST_CLERK,3200,0.22,120.0,50.0
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,9/28/2006,ST_CLERK,2700,0.22,120.0,50.0
127,James,Landry,JLANDRY,650.124.1334,1/14/2007,ST_CLERK,2400,0.22,120.0,50.0
